model,asset,evaluated_count,llm_count,seed_count,avg_weight_when_present,max_weight_when_present,avg_candidate_score,best_candidate_score,avg_candidate_sigma_q09
openai/gpt-oss-120b,NLMK,3,3,0,0.11870366666666667,0.125,-0.013936388077911033,0.0178224231759176,0.23342631368841635
openai/gpt-oss-120b,VTBR,3,3,0,0.112037,0.125,-0.0039414816112533,0.0152224185631066,0.2181664642399249
openai/gpt-oss-120b,TATN,3,2,1,0.2010547890619898,0.40316436718596943,-0.33681087347349675,0.0265111520219993,0.35397969048441175
openai/gpt-oss-120b,YDEX,2,2,0,0.1125,0.125,0.016535175914782048,0.0178479332664575,0.17619741055809734
openai/gpt-oss-120b,GMKN,2,2,0,0.1055555,0.111111,-0.0007562113958601985,0.0265111520219993,0.2736012937131577
openai/gpt-oss-120b,TMOS,2,2,0,0.1,0.1,0.0026457324481929502,0.0043147534795327,0.21502136900970276
openai/gpt-oss-120b,LQDT,2,1,1,0.07755434121915544,0.125,-0.0144513105308313,0.0178224231759176,0.1880303158488177
openai/gpt-oss-120b,ALRS,1,1,0,0.19,0.19,-0.0130179387255637,-0.0130179387255637,0.2628925915368499
openai/gpt-oss-120b,TECH,1,1,0,0.1,0.1,0.0043147534795327,0.0043147534795327,0.1933985726122684
openai/gpt-oss-120b,MAGN,3,0,3,0.11486282826904409,0.21564527559913826,-0.8592557691908747,-0.1373815206297763,0.37483856462465664
openai/gpt-oss-120b,HEAD,3,0,3,0.07965654579922728,0.19537990686806866,-0.38692771119037256,-0.0542881773813929,0.3246483014338744
openai/gpt-oss-120b,UNAC,2,0,2,0.4295809602084358,0.4823351338395898,-0.826758434809246,-0.2377641983598811,0.33887752729333886
openai/gpt-oss-120b,FLOT,2,0,2,0.33649420340129155,0.3535644491984552,-0.0680750089434406,-0.0542881773813929,0.28612140117846063
openai/gpt-oss-120b,FIVE,2,0,2,0.14071926244712746,0.2062391435689053,-0.1114491213743436,-0.0855167221189109,0.2166862212804898
openai/gpt-oss-120b,MSNG,2,0,2,0.12040846150240564,0.22013836523173022,-0.06429344237153425,-0.0467250442375802,0.24903474650631968
openai/gpt-oss-120b,BSPB,2,0,2,0.08881958735359091,0.17750276662057662,-0.0883861413360908,-0.0393907620424053,0.29935574708733603
openai/gpt-oss-120b,BELU,2,0,2,0.0486891355506309,0.09260950615931166,-0.0624537420806581,-0.0393907620424053,0.20029371327969825
openai/gpt-oss-120b,SU26244RMFS2,1,0,1,0.5425196845494054,0.5425196845494054,-0.2377641983598811,-0.2377641983598811,0.2706897177455376
openai/gpt-oss-120b,TRNFP,1,0,1,0.4318888972128887,0.4318888972128887,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
openai/gpt-oss-120b,UPRO,1,0,1,0.3751363258515377,0.3751363258515377,-0.0393907620424053,-0.0393907620424053,0.2829632390865445
openai/gpt-oss-120b,SNGSP,1,0,1,0.3488709511762696,0.3488709511762696,-1.415752671258611,-1.415752671258611,0.4070653368411402
openai/gpt-oss-120b,PHOR,1,0,1,0.2749291921452489,0.2749291921452489,-0.0818618405054883,-0.0818618405054883,0.3466420955531325
openai/gpt-oss-120b,SBRB,1,0,1,0.2697336534523949,0.2697336534523949,-0.0855167221189109,-0.0855167221189109,0.117624187472852
openai/gpt-oss-120b,ASTR,1,0,1,0.18115279836218948,0.18115279836218948,-0.1373815206297763,-0.1373815206297763,0.3157482550881276
